full_text,tweet_english,klasifikasi
58 milih wowo samsul ingin program jokowi lanjut apa keluh dgn program tapera malah teriak lanjut oke gas oke gas makin kenceng jangan sampe nih tapera ntar kasus jadi kek taspen asabri jiwasraya maling uang rakyat dgn cara halus,"58 Vote for Wowo Samsul, do you want the Jokowi program to continue, are you complaining about the Tapera program, instead you are shouting, OK, gas, OK, the gas is getting louder, don't let this happen, Tapera will make the case become like Taspen Asabri Jiwasraya, stealing people's money in a subtle way.",Positif
rumah hasil potong tapera,house of cut tapera,Netral
bukan mudah cipta lapang kerja tapera justru buat perusahaan2 pikir ribu kali terima pegawai baru,"It's not easy to create Tapera employment opportunities, in fact it makes companies think a thousand times about accepting new employees",Negatif
gaji komite tapera capai rp 43 juta bulan tapera tambah derita rakyat,Tapera committee salaries reach Rp. 43 million a month. Tapera adds to the suffering of the people,Netral
wakil apindo rocky gerung bicara soal tapera,Apindo representative Rocky Gerung talks about Tapera,Netral
garagara kasus akhirakhir kayak bea cukai tapera ukt mahal banyak ngeluh ken ganti kewarganegaraan gimana cara gue coba rangkumin apa aja syarat buat apply citizenship beberapa negara bisa jadi alternatif a thread,"Due to recent cases like Tapera UKT customs being expensive, lots of people complaining about changing citizenship. How do I try to summarize what are the requirements for applying for citizenship? Several countries could be an alternative. A thread",Negatif
rakyat ri ukt naik 500 pbb naik 400 tapera 3 bbm listrik amp pajak naik gak kasih kerja tiongkok kasih hasil tambang ribu triliun kasih upeti kereta china 226 mbulan lama 110 tahun kasih kerja tka rezim bangsat,RI people's UKT increases by 500 UN increases by 400 tapera 3 fuel amp electricity amp taxes increase don't give jobs China gives mining products thousand trillion gives tribute Chinese trains 226 months old 110 years give work tka bastard regime,Positif
basuki gak jawab solusi orang yg punya rumah kpr akan tetap potong tapera cuma ngerti sama sri mulyani dapat honor 43 juta bulan sbg komite tapera,"Basuki doesn't answer the solution: People who have mortgages will still cut tapera, just understand that Sri Mulyani gets an honorarium of 43 million a month as a tapera committee",Netral
holiday keliling dunia dgn biaya cuma 4 juta rupiah sila segera daftar buzzer tapera,"holiday around the world for only 4 million rupiah, please register immediately for the Tapera buzzer",Netral
minggu besok senin vini bangun tidur tapera nathan coklat sosmed tele,Next week Monday Vini wakes up Tapera Nathan Chocolate Social Media Tele,Positif
kait tapera moldoko beri perintah sempat kerja kalo yg sharing ada gak yg hasil potong tabung tapera yg dulu taperum hasil tabung beli rumah pensiun,"hook tapera moldoko give orders to have time to work if anyone is sharing, is there anyone who has cut the tapera tube from the previous taperum tube from buying a retirement home?",Negatif
bayangin endingnya kek gin ada tangkap koruptor tapera,Imagine the ending like gin arresting a Tapera corruptor,Netral
on vc ready minggu senin gin tapera indah g sekarang tele,on vc ready sunday monday gin tapera indah g now tele,Positif
siang rabu tapera tiktok yati syarifah salma on doggy sosmed wa aja,Wednesday afternoon tapera tiktok yati syarifah salma on doggy social media wa only,Positif
ngeri benar2 paksa sanksi kerja beri kerja bila tak bayar tak mengikutsertakan kerja tapera kerja kutip pasal 55 atur perintah pp nomor 25 tahun 2020 kerja mandiri freelancer kerja informal sudah,really horrified to be forced to give work sanctions if you don't pay don't include work tapera work quotes article 55 regulate order PP number 25 of 2020 independent work freelancer informal work already,Negatif
tapera tambah dapat menteri agama,Tapera also gets minister of religion,Netral
tapera dengerin nih puja,Tapera listen to this puja,Netral
simulasi gaji iur tapera,Tapera contribution salary simulation,Netral
kaum buruh turun demo besarbesaran tolak tapera jumhur hidayat kspsi tolak iur tapera modus bancak legal,workers take out massive demonstrations against tapera jumhur hidayat kspsi reject tapera contributions legal bancak mode,Positif
bpjs sesuai kelas 3 hapus ppn naik 12 ukt naik publik protes keras tunda tahun pertalite hapus tdl naik lpg naik sembako naik rakyat bayar tapera 3 gaji semua utang naik,"BPJS according to class 3, remove VAT, increase by 12, UKT, increase, public protest strongly, postpone the year of Pertalite, remove TDL, increase in LPG, increase in basic necessities, people will pay Tapera 3, all debts will increase",Positif
masalah backlog huni 9 9 juta unit harga properti naik 1015 per tahun naik gaji linier dgn properti solusi ala tapera semua kerja wajib setor gaji 3 kprnya untuk mbr harga maks jabodetabek rp 168 juta sungguh jaka sembung bawa bajing,"housing backlog problem of 9.9 million units, property prices increase by 1015 per year, salary increases linearly with property, Tapera style solution. All workers must deposit 3 KPR salary for MBR. Max price for Jabodetabek IDR 168 million. Really Jaka Sembung brings squirrels",Positif
bocor halus bicara potong tapera pegawai swasta,leaking smooth talk cut tapera private employees,Positif
masalah krisis properti selesai mindset asuransi jabat bank mending hidup nomaden lama paksa jadi serta tapera,property crisis problem solved insurance mindset hold bank better live nomadically for a long time forced to become tapera,Positif
gambar kurang lebih begini kali ingat kasus asabri jiwasraya salah investasi taspen,The picture is more or less like this. Remember the case of Asabri Jiwasraya's wrong investment in Taspen,Negatif
mau ketawa silah gak percaya silah likekomen,"If you want to laugh, don't believe it, please like, comment",Positif
semua orang hasil atas umr kena potong 3 tapera monyet lingkar istana mana ini pegang hak ekslusif kelola dana,"Everyone's age limit will be cut by 3 tapera monkeys around this palace, which holds exclusive rights to manage funds.",Netral
darah dimanamana potong tubuh jalan lakilaki amputasi anakanak bakar manusia manusia mati gaza tapera rasa syarifah salma all eyes on rafah khilaf cianjur jokowi,blood everywhere cut bodies on the street men amputate children burn people die people gaza tapera rasa syarifah salma all eyes on rafah khilaf cianjur jokowi,Netral
4 hari sibuk tapera 4 hari sama waktu butuh ma putus perkara,4 days busy tapera 4 days same time need ma decide case,Positif
simulasi potonganpotongan upah 5 juta potong wajib per bulan 1 tapera 2 5 rp125000 2 bpjs kes 1 rp50000 3jht 2 rp100000 4 jp 1 rp50000 5 pph 21 take home pay ptkp 4675000 4500000 175000 x 5 8750,simulation of wage deductions 5 million mandatory deductions per month 1 tapera 2 5 rp125000 2 bpjs kes 1 rp50000 3jht 2 rp100000 4 jp 1 rp50000 5 pph 21 take home pay ptkp 4675000 4500000 175000 x 5 8750,Netral
perintah jamin iur tapera bukan program makan siang gratis ikn n,Tapera contribution guarantee order is not a free lunch program IKN n,Negatif
yg ngotot di sahkan tapera dan skrg ko cuci tangan buang kotor pa partai munafik,Those who insist on legalizing the tapera and now why are you washing your dirty hands for the hypocritical party?,Negatif
serikat buruh tak mau paksa bayar tapera tidak sekolah anak n,The labor union does not want to be forced to pay fees for not going to school for children n,Negatif
sekadar ingat atur baru soal tapera nilai bikin skeptis soal pernah kasuskasus korupsi himpun dana asal publik buah utas,Just remembering the new regulations regarding tapera value makes you skeptical about the existence of corruption cases in raising funds from the public as a result of the thread,Negatif
empat tahun lalu feast ramal tapera alias tari hancur raya betul tidak pasti konstipasi,"Four years ago, the Ramadhan Tapera feast, aka the Great Desolate Dance, was definitely not constipated",Positif
asosiasi usaha indonesia tegas tolak potong tapera besar 3,Indonesian Business Association firmly refuses to cut big tapera 3,Negatif
soal pupu bp tapera mau baca lucu gak apa saking desperadonya bp tapera return tapera lama 25 th sanding ama bunga deposito konvensional tabung 1 th kesan besar,"about BP Tapera's pupu, I want to read, it's funny, it's okay, it's so desperado, BP Tapera returns the old 25 year old tapera compared to the interest on conventional 1 year tube deposits, big impression",Positif
sanksi yg di terima tak bayar tapera,The sanctions received are not paying tapera,Netral
beda tapera vs rumah dp 0 amp rusunawa tapera rumah sdh nyicil rumah dp 0 amp rusunawa rumah sdh ada baru deh nyicil nyewa pilih mana,difference between tapera vs 0 down payment house and rusunawa tapera house already paid in installments 0 down payment house and rusunawa house already available then paid in installments which one to choose,Positif
2021 bpk temu 124960 pensiun dapat kembali dana tapera rp 567 5 miliar,2021 Mr. Temu 124960 retirees can get back Rp. 567.5 billion in Tapera funds,Netral
minggu besok senin vini bangun tidur tapera nathan coklat sosmed tele,Next week Monday Vini wakes up Tapera Nathan Chocolate Social Media Tele,Positif
arti tapera biaya program makan siang gratis proyek ikn,meaning of tapera costs of the free lunch program of the IKN project,Positif
yg paling kenceng kampanye ayo tabung soeharto nabung nya bebas nabung kaleng bantal bambu bank inti paksa kayak mukidi tapera,"the loudest campaign let's save Suharto, save freely, save cans, bamboo pillows, core banks, forced like Mukidi Tapera",Positif
buat apa tapera,what is tapera for?,Netral
buruh seru aksi demo 6 juni istana negara tolak tapera tolak program kris ukt mahal akan suara,"Workers call for a demonstration on June 6, the State Palace rejects Tapera, rejects the Kris UKT program which is expensive for votes",Negatif
gaji udah potong buat dan eh tapera bener aje,I've had my salary cut and that's true,Positif
karyawan punya rumah wajib ikut tapera bp tapera konsep gotong royong n,"employees who own a house are required to participate in Tapera BP Tapera, the concept of mutual cooperation n",Positif
masalah tapera pandang holistik jelas dulu roadmapnya tidak ingin kan kasus asabri jiwasraya jadi,"The holistic perspective of the tapera problem is clear, first the roadmap is not to let the Jiwasraya Asabri case happen",Positif
nyari 2 postingan dukung belah yg protes palak model baru tapera belum ketemu apa pura2 bahagia biar gaji sunat sana sini gak masuk akal benar nya hitung2an tapera gak mungkin buat beli rumah kalau ngumpulin nya 100 tahun,"looking for 2 posts supporting those who are protesting against the new model of tapera palak, haven't found anything yet, pretending to be happy so that the circumcision salary here and there doesn't make sense, it's true, tapera calculations, it's impossible to buy a house if you collect it for 100 years",Positif
beli pecel kena ppn 10 bom parkir mau tambah tapera 2 5,"buying pecel is subject to VAT 10 parking bombs, you want to add tapera 2 5",Negatif
orang bule masuk kamar hotel tutup semua lubang jgn sampe kamera aman pintu orang indonesia masuk kamar hotel jepit diri selimut ketat kasur amp buka menu room service komplen pisang goreng harga kaya cicil tapera,"Caucasian people enter the hotel room, close all the holes, don't let the camera secure the door, Indonesian people enter the hotel room, pinch themselves with a tight blanket, mattress, open the room service menu, complain about fried bananas, prices are rich in tapera installments",Positif
habis ukt terbit tapera mungkin efek susu gratis ganti energen dukung 02 gak yg koment,"It's finished until Tapera is published, maybe the effect of free milk will replace energy, support 02 or not, comment",Positif
website tapera besar 3 kerja 2 5 usaha bayarin 0 5 coy yg kerja mandiri potong 3 ojek taksi online warung madura masuk kerja mandiri hahahaha btw ppn bakal naik 12 terima kasih,big tapera website 3 jobs 2 5 businesses pay 0 5 guys who work independently cut 3 motorbike taxis online taxi stall Madura enter independent work hahahaha btw VAT will increase by 12 thank you,Positif
dih ngapain lu ngetwitngetwit tapera lu mikir ga sih twittwit jijik lu dulu yg ngedukung status quo cih dasar sakit,"why are you tweeting tapera tweets, don't you think your disgusting tweets are those that support the status quo, you sick bastard",Negatif
mampir kantor bpjs ketenagakerjaan rakyat ngurus jamin istilah gagahgagah jamin hari tua jamin pensiun jamin hilang kerja kadang dengar jumlah klaim lebih cocok sebut jamin bulan depan tapera penya tipu,stop by the people's employment bpjs office to take care of the guaranty term dashgagah guarantee old age guarantee pension guarantee loss of work sometimes hear the claim amount is more suitable call guarantee next month tapera pena cheat,Positif
kalau yg punya rumah ikut taperaiurannya apa,"If you own a house, what are the fees?",Positif
,,Netral
tapera cuma 3 ga buat miskin,Tapera only 3 doesn't make you poor,Negatif
berita 1 siapsiap gaji kerja swasta potong simpan tapera per tanggal 10 berita 2 perintah tarik utang rp 119 1 triliun per 30 april how much money do you need,news 1 get ready get ready for private work salary cut save tapera as of 10th news 2 order to withdraw debt IDR 119 1 trillion as of 30 April how much money do you need,Positif
banyak ya potong gaji buat itu bpjs sehat bp jamsostek pph 21 terus sekarang tapera gimana turut soal atur sehatsehat buat semua narasi daily,"Yes, there's a lot of salary cuts for that. Healthy BPJS BP Jamsostek PPH 21 and now Tapera, how do you get involved in managing your health and health for all the daily narratives",Positif
tapera apa,what tapera,Netral
putri bukan nama benar orang pensiun guru pns serta program tabung rumah waktu nama bapertarum dapat cair rp 6 6 juta periode serta lama 28 tahun,Putri is not the real name of a retired civil servant teacher and the housing savings program at the time of the name Bapertarum can be disbursed Rp. 6.6 million for a period of 28 years,Positif
brapa gaji komisioner tapera pokok menggiurken,How much is the salary of the principal Tapera commissioner tempting?,Positif
perintah arah keluar masyarakat halhal sifat produktif ada tapera,order direction out of society things productive nature there is tapera,Netral
kok yg paling kenceng ngoceh tapera,Why is the loudest one babbling Tapera?,Netral
program tapera terlalu maksa sangat sulit prakerja jika tetap jalan arti perintah langgar konstitusi gak sih gaes,"The Tapera program is too coercive, it's very difficult for pre-employment if it continues, doesn't that mean the order violates the constitution, guys",Negatif
ngeluh soal tapera malah bilang anak abah ckck,Complaining about Tapera instead said my father's son was a tsk,Netral
jelas konsep tapera memang rakyat paksa utk beli obligasi negara instrumen investasi lain yg jadi masalah resiko sepenuh tanggung rakyat imbal hasil sepenuh rakyat dibagi2 utk kelola operasional,"It is clear that the concept of Tapera means that the people are forced to buy government bonds, other investment instruments which are a matter of risk being entirely the people's responsibility. The returns are shared by the people to manage operations.",Negatif
se7 sama kakak harus nya tabung tapera khusus buat dukung 02 kan yang pilih lanjut dukung 01 amp 03 nabung nya celengan nyuruh nabung kok maksa,"se7 and my brother, you have to get a special tapera tube to support 02, right, who chooses to continue supporting 01 amp 03 savings, the piggy bank tells you to save, why are you forcing it?",Positif
benar bagus loh tapera tuh coba bayangin gaji 10 juta x 3 130 k buat tapera kerja lama 100 tahun jadi 130k x 1200 156 juta kebel rumah rsssssss kek gin sekali apaaa yak mindset,"really good, Tapera, try to imagine a salary of 10 million",Positif
ya der kader pks tadz mardani dengan clear jujur aku pks yg inisiasi ruu tapera bolak balik sy sampai ndak usah malu aku sejarah tulis ndak hapus masih waktu saat sadar keliru tinggal,"Yes, PKS cadre, Tadz Mardani, clearly, honestly, I was the PKS who initiated the Tapera bill, I went back and forth until I didn't have to be embarrassed, I wrote history and didn't delete it. There was still time when I realized I was wrong.",Positif
suara nitizen 62 gaji potong pph 21 bpjs iur jht ada tambah wajib iur tapera 3 sisa dibelanjain kena ppn 12 benar langkah tuju indonesia emasindonesia cemas 2045 gilir kritik perintah eh serang sdh kontribusi apa negara,"Netizen votes 62 salary cut PPH 21 BPJS JHT contribution, there is an additional mandatory Tapera contribution, 3 remaining spent are subject to VAT 12 correct steps towards Indonesia Emasindonesia is anxious 2045 turn to criticize orders, eh Serang, what contribution has the country made?",Negatif
masyaallah perintah baiiiiik banget akhir aku punya sempat buat beli rumah menteng pake tabung tapera 7x reinkarnasi,"Masha Allah, the order is really good, finally I have time to buy a house in Menteng using Tapera tube 7x reincarnation",Positif
nyata awal mula bentuk tapera tuh udah lama sekali lho coba tonton deh gimana turut narasi daily,"It's clear that the beginning of the Tapera form was a long time ago, you know, try watching the daily narration",Positif
tambah beban baru serikat buruh usaha tolak bijak iur tapera serikat kerja usaha daerah istimewa yogyakarta diy tegas tolak bijak perintah wajib iur tabung rumah rakyat tapera tolak susul,add new burdens business labor union wisely rejects tapera contributions business unions Yogyakarta special region diy firmly rejects wisely orders mandatory contribution to people's house savings tapera rejects one after another,Positif
tanyarl 300t buat tapera kali,Ask 300t for Tapera Kali,Netral
nama tapera tabung rumah rakyat potong 3 buat beli rumah 2 5 pegawai 0 5 kantor kalau gaji rp 5 juta dapat rp 150 ribu per bulan tahun rp 1 8 juta kapan yak kebel rumah wkwkwk,"Name Tapera Tube People's House, cut 3 to buy a house 2 5 employees 0 5 office if the salary is IDR 5 million, get IDR 150 thousand per month for the year IDR 1 8 million when will I get a house hahaha",Positif
contoh hasil kerja copywriter desainer independen freelance yg upah makin dikit potong tapera dah,Examples of the work of freelance independent designer copywriters whose wages are getting smaller and smaller,Netral
imajinasi kerja banjarnegara wonogiri amp sragen hasil tabung tapera,"working imagination of Banjarnegara Wonogiri & Sragen, results of Tapera tubes",Netral
tentu atur atur perintah pp nomor 21 tahun 2024 ubah atas atur perintah nomor 25 tahun 2020 selenggara tabung rumah rakyat iur tapera tabung rumah rakyat sifat periodik jangka waktu tentu,"of course, regulate the order of PP number 21 of 2024, amend the order of order number 25 of 2020 to organize the people's house savings account, tapera contribution to the people's house tube, periodic nature, certain period of time",Positif
rumah hasil nabung simpan tapera,house from savings save tapera,Netral
visualisasi rumah tapera tinggal beli galvanized square steel sama ecofriendly wood veneer,"To visualize a Tapera house, just buy galvanized square steel and ecofriendly wood veneer",Netral
terus joget kawan gaji kerja bakal potong 3 tapera kalau jalan biasa prokontra,"keep dancing friends, your work salary will be cut by 3 tapera if you go normally, pros and cons",Positif
ojol tapera ojol mau potong hasil buat tapera waras lo rata2 dapat hari 150 ribu hasil ojol potong aplikator minimal 20 keluar bbm internet makan minum kendara paling tinggi bawa pulang 100 rb buat anak istri,"tapera ojol ojol wants to cut the results for tapera sane you get an average of 150 thousand a day from the results of the ojol cut the applicator at least 20 out of fuel, internet, food, drink, transportation, the highest take home 100 thousand for the wife and children",Negatif
perintah bohong jelas jelas dana tapera dalam kembang lalu investasi antara lewat surat utang negara sun bagaimana kata manfaat kan buat ikn makan siang gratis wong tutup defisit anggar apbn pakai sun kok,"the order is clearly a lie, tapera funds in development and investment through sun government bonds, how do you say benefits for free lunch money, people cover the budget deficit in the state budget using sun, right?",Positif
tapera kalo diitung2 sampe masa pensiun kata kerja sd 30 tahun cuma dapet kurang lebih begini guys kalo gaji kalian 5 juta jangan2 singkat tuh tabung makam rakyat,"Tapera, if you think about it, up to retirement, up to 30 years of work, you only get more or less like this, guys, if your salary is 5 million, don't be short, that's people's graveyard.",Positif
gaji karyawan potong tapera jokowi manfaat rasa,"Tapera Jokowi cuts employee salaries, taste benefits",Netral
busuk program tapera agenda selamat bank plat merah bank btn dalam kondisi megapmegap potong gaji pns swasta 2 5 persen semua tuju taperanya bukan kondisi bank btn luar tanggungjawab perintah jokowi,rotten tapera program agenda safe red plate bank bank btn in a gasping condition cut private civil servant salaries 2.5 percent all towards tapera not condition bank btn outside responsibility jokowi's orders,Positif
lebih dungu mana laku nepotism politis dukung nya simple question tags kaesang tapera,"which is more stupid, political nepotism, support simple question tags kaesang tapera",Negatif
nabung buat tapera nabung buat keliling indonesia docuseries episode 2,saving for tapera saving for traveling around Indonesia docuseries episode 2,Netral
lu mau pegang duit dengan server lu begini,You want to hold money with your server like this,Netral
udah gw bilang jangan mau bayar tapera ga usah takut kalo diancemancem theyre just the few we are the many uang bensin polisi aja yg bayar peluru tentara yg bayar ancem balik pake civil disobedience we people have power,"I told you don't want to pay tapera, don't be afraid if you are threatened, theyre just the few we are the many, the police only pay for the petrol money, the soldiers who pay the threat back use civil disobedience, we people have power",Negatif
coba gimana itungitungannya dgn tapera gen z jadi punya rumah plus arti bukan perlu gengen nih,Let's try the calculations with Tapera Gen Z so you have a house plus it means you don't need Gen Z,Netral
work kok hati banget wajib tapera coba kalian searching anggar wangi ruang gedung dpr berapa barang yg riset bahaya aja anggar segitu makin nyesek tau gaji gue aja ga banyak tunjang listrik menteri,"work, I'm really careful, I have to tapera, try searching for fragrant fencing in the DPR building, how many items do you research on the dangers of fencing that much, it's even more annoying, you know, my salary doesn't provide much for the minister's electricity.",Positif
minggu 1 tapera wajib buat kerja swasta 2 kaesang tbtb maju jkt 3 putus ma umur cagub dilolosin 4 sri mulyani terima honor 5 syl pake duit tan biayain keluarga simpenannya 6 makan siang gratis ubah jd gizi gratis mo marah yg mana dlu bingung,week 1 tapera is obliged to work in the private sector 2 kaesang tbtb advanced to jkt 3 broke up and the gubernatorial candidate was passed 4 sri mulyani received an honorarium 5 syl used money and paid for the family's savings 6 free lunch turned into free nutrition mo angry which one was confused first,Positif
bagaimana nasib karyawan udah punya rumah kpr akan potong tapera yo ndak tau kok tanya,"What happens to employees who already have mortgages and will cut tapera, I don't know why I'm asking",Netral
kasih tahu tapi janji kalian jangan marah inisiator uu tapera salah satu lho rancang wajib pegawai potong gaji 3 ya salah satu usul pks lho apa kalian ndak tahu pp tapera adalah perintah uu tapera,"tell me, but promise me, don't be angry, the initiator of the Tapera Law is one of the plans to make it mandatory for employees to cut salaries.",Negatif
gaji kerja baik pns maupun swasta potong 3 persen bulan tanggal 10 iur tabung rumah rakyat tapera,Work salaries for both civil servants and the private sector are cut by 3 percent on the 10th of the Tapera people's home savings contribution,Netral
tapera bakal potong 3 gaji begini simulasi manfaat terima serta tapera gimana guys,"Tapera will cut 3 salaries, this is a simulation of the benefits received and what Tapera is like, guys",Netral
lah tapera yg rumah ice bsd,Tapera is the ice house BSD,Netral
ruu siar sama tapera tuh buat ngegocek aja nyata,Ruu broadcast with Tapera just for real fun,Positif
tuju mas nda yg minta tapera nda yg butuh tapera ada cuma paksa buat bijak tanpa hati saja ambil paksa uang rakyat kalian mungkin besar nilai bagi rakyat kecil adalah topang,"Go to those of you who are asking for tapera, you who need tapera, there is only force to be wise without a heart, just take by force your people's money, maybe it has great value for the small people, it is a support",Positif
nyesek banget allah meski semua sibuk dgn kontroversi tapera negeri jgn lupa doa saudara di palestina yg sedang lapar,"It's so sad, God, even though everyone is busy with the Tapera Negeri controversy, don't forget to pray for your brothers and sisters in Palestine who are starving",Negatif
pasti dana haji udah habis makanya ngebet bikin tapera bukan bos,"I'm sure the funds for the Hajj have run out so I'm desperate to make Tapera, right?",Positif
gaji 500 ribu kenap tapera,salary 500 thousand why tapera,Netral
manfaat tapera jadi kalau punya rumah kpr plafon yg tetap gantung wilayah yg udh punya rumah ambil opsi renovasi dg plafon yg udh d tetap tp tetep bayar cicil yaa bukan arti udh iur 3 arti g bayar xixixi,"the benefits of tapera are so if you have a house with fixed ceilings, if you already have a house, take the option of renovating with a fixed ceiling but still paying in installments, that doesn't mean you have already contributed 3 meaning you don't pay xixixi",Negatif
ah cuma 300t kok rakyat indonesia kaya smua kok rakyat kecil aja sumbang perintah lewat tapera,"Ah, it's only 300t, how come all Indonesian people are rich? How come the small people just donate orders via Tapera?",Positif
2021 bpk temu 124960 pensiun dapat kembali dana tapera rp 567 5 miliar 2024 gimana entah siapa salah,2021 BPK meeting 124960 pension can return tapera funds IDR 567 5 billion 2024 how I don't know who's wrong,Negatif
hidup libur tapera,Tapera holiday life,Netral
gelem tapera,tapera gelem,Netral
ayoo pak butuh jelas jangan tiba tiba gaji potong,"Come on, sir, we need to be clear, don't suddenly cut your salary",Positif
thread perintah baru keluar atur dana tapera tuang atur perintah pp nomor 21 tahun 2024 sesuai atur gaji kerja masuk pns hingga karyawan swasta bakal potong besar tiga persen bulan,new order thread out regulates tapera pour funds regulates order PP number 21 of 2024 according to regulations for work salaries for civil servants and private sector employees will take a large cut of three percent a month,Positif
kerja nolak tapera usaha nolak tapera terus bijak buat siapa deh yang jawab narasi daily,"work to refuse tapera, work to refuse tapera, continue to be wise, whoever answers the daily narrative",Positif
emx perlu paham sosialisasi masalah tapera klo mau laksana contoh 150 rb dr gaji umr 5 juta sih ga rasa lah yg penting kelola nya bagus bebas korupsi ato pdip pks nnti luar perintah jd skrg bakar jenglot,"Emx needs to understand the socialization of the Tapera problem. If you want to do it, for example, 150 thousand from a salary of around 5 million, I don't think the important thing is that the management is good, free of corruption or the PDP PKS will be outside of orders, so now burn the jenglot",Positif
bph migas sebut jokowi minta batas pertalite segera eksekusi masyarakat nanti bahagia sukacita kriteria batas pertalite apa tunggu banyak sekali kejut akhir2 dari ukt tapera sebentar batas pertalite source,"BPH Migas says Jokowi asks for Pertalite limit to be executed immediately, people will be happy, joyful, criteria for Pertalite limit, what are you waiting for, lots of surprises in the end from UKT Tapera, just a moment, Pertalite limit Source",Positif
271 t alokasi sektor didik ukt perlu naik sektor sehat ga perlu rakyat bayar bpjs sektor rumah ga perlu gaji buruh potong tapera sejahtera tegak hukum ga perlu mereka korup ngerti,"271 t the allocation of the UKT education sector needs to increase the healthy sector, there is no need for people to pay BPJS for the home sector, there is no need for workers' salaries to be cut, Tapera Sejahtera upholds the law, there is no need for them to be corrupt, understand",Netral
gimana rasa makan dr uang hasil paksa orang,How does it feel to eat from people's forced money?,Negatif
bagaimana bisa percaya oceh mu kau laku begal bukan mungkin tapera jadi sarana bancak seperti alami jamsostek bpjs asabri jiwasraya dari kerja pemerinta,"How can you believe your nonsense, you are a mugger, it is not possible that Tapera is a means of getting rich like Jamsostek BPJS Asabri Jiwasraya experienced from government work",Positif
perintah yg jamin memang siapa yg mau percaya puluh tahun hidup rakyat makin susah tolak akalakalan tapera,An order that guarantees who wants to believe that for decades the people's lives will become increasingly difficult to resist Tapera's tricks,Negatif
asli gak jelas banget urgensi tapera kalo buat asn monggo2 aja buat swasta jelas ngeberatin banget kalo gin terus jngan salahin kalo aksi boikot thd perintah udah aksi mosi percaya yg kemarin gelar tugu proklamasi,"Genuinely, it's not really clear that the urgency of Tapera, if it's for civil servants, let's just do it for the private sector, it's clear that it's very serious if it continues, don't blame it if it's a boycott against the order, there's already a vote of confidence that yesterday held a proclamation monument",Negatif
yg hrs waspada peras rakyat lewat tapera 1 cari dana murah nambahbayar utang krn jiwasraya asabri taspen sdh rampok 2 sbg sumber dana yg hilang krn milik tdk perhati spt kasus bapetarum 3 utk cari pundipundi gaji tinggi kelola,who must be wary of squeezing the people through Tapera 1 looking for cheap funds to increase debt payments because Jiwasraya Asabri Taspen has been robbed 2 as a source of funds that are lost because the property is not paying attention like the Bapetarum case 3 to look for high salary coffers to manage,Positif
tapera jadi omong manamana lalu apa kata kerja soal tapera hehe kata gimana turut tuju enggak narasi daily,tapera so talk everywhere then what is the verb about tapera hehe what do you say join in the daily narrative,Netral
